ProviderKey,ProviderName,Specialty,ProviderType,YearsExperience
1,Dr Noah Whitfield,Psychiatry,Specialist,17
2,Dr Mia Zhang,Psychiatry,Consultant,7
3,Dr Kai Castellano,Cardiology,Consultant,7
4,Dr Ravi Sullivan,Rehabilitation Medicine,Consultant,14
5,Dr Ada Castellano,Oncology,Visiting Medical Officer,19
6,Dr Amara Fitzgerald,Psychiatry,Visiting Medical Officer,23
7,Dr Tomas Zhang,Oncology,Specialist,8
8,Dr Priya Moreau,Emergency Medicine,Specialist,24
9,Dr Leila Petrov,Cardiology,Visiting Medical Officer,9
10,Dr Elias Kaur,Rehabilitation Medicine,Specialist,25
11,Dr Kai Menon,Psychiatry,Consultant,4
12,Dr Mia Achebe,Emergency Medicine,Registrar,8
13,Dr Elias Petrov,Intensive Care,Specialist,12
14,Dr Sana Rahman,Oncology,Specialist,6
15,Dr Leila Fitzgerald,Rehabilitation Medicine,Registrar,12
16,Dr Omar Moreau,Obstetrics,Registrar,22
17,Dr Liam Sullivan,Cardiology,Specialist,27
18,Dr Tomas Kaur,Oncology,Specialist,15
19,Dr Zara Moreau,Nephrology,Visiting Medical Officer,11
20,Dr Tomas Zhang,Oncology,Specialist,29
21,Dr Kai Moreau,Respiratory Medicine,Registrar,10
22,Dr Felix Okafor,Emergency Medicine,Consultant,9
23,Dr Chen Fitzgerald,Nephrology,Visiting Medical Officer,6
24,Dr Elias Moreau,Paediatrics,Visiting Medical Officer,18
25,Dr Ada Whitfield,Nephrology,Consultant,19
26,Dr Hugo O'Brien,Obstetrics,Visiting Medical Officer,12
27,Dr Omar Whitfield,Psychiatry,Specialist,34
28,Dr Isla Brennan,Emergency Medicine,Specialist,34
29,Dr Leila Menon,Orthopaedic Surgery,Specialist,12
30,Dr Ada Brennan,Cardiology,Specialist,33
31,Dr Amara O'Brien,Respiratory Medicine,Specialist,17
32,Dr Liam Sullivan,Paediatrics,Consultant,7
33,Dr Zara Kaur,Rehabilitation Medicine,Registrar,10
34,Dr Zara Silva,Orthopaedic Surgery,Specialist,29
35,Dr Ravi Silva,Psychiatry,Registrar,21
36,Dr Elias Rahman,Intensive Care,Visiting Medical Officer,9
37,Dr Mia Sullivan,Emergency Medicine,Specialist,3
38,Dr Kai Silva,Oncology,Registrar,2
39,Dr Priya Nguyen,Oncology,Consultant,4
40,Dr Hugo Kaur,Rehabilitation Medicine,Registrar,19
41,Dr Zara Menon,Rehabilitation Medicine,Registrar,32
42,Dr Mia Okafor,General Surgery,Registrar,8
43,Dr Noah Castellano,Respiratory Medicine,Visiting Medical Officer,28
44,Dr Omar Nguyen,Nephrology,Consultant,5
45,Dr Elias Lindqvist,Emergency Medicine,Registrar,14
46,Dr Ravi Silva,Intensive Care,Registrar,29
47,Dr Isla Petrov,Intensive Care,Registrar,6
48,Dr Omar Silva,Emergency Medicine,Consultant,2
49,Dr Priya Sullivan,Orthopaedic Surgery,Visiting Medical Officer,33
50,Dr Zara Menon,General Surgery,Consultant,12
51,Dr Elias Whitfield,General Surgery,Specialist,31
52,Dr Grace Castellano,Psychiatry,Visiting Medical Officer,11
53,Dr Ravi Achebe,Oncology,Consultant,5
54,Dr Hugo Nguyen,Cardiology,Visiting Medical Officer,34
55,Dr Felix Fitzgerald,Cardiology,Consultant,13
56,Dr Priya Novak,Emergency Medicine,Registrar,27
57,Dr Noah Yamamoto,Oncology,Consultant,7
58,Dr Nina Yamamoto,Paediatrics,Specialist,18
59,Dr Ravi Lindqvist,Oncology,Specialist,27
60,Dr Chen Achebe,Intensive Care,Specialist,6
